"score",Text,Sentiment
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
0,"rt sejumlah orang yang nama diri bagai aktivis lapor capres prabowo subianto dan sejumlah tokoh lain ke ba","neutral"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
-4,"rt tentang prabowo subianto indonesia bisa bubar dan punah dari ahmad yani politis dan praktisi hukum tulis desemb","negative"
3,"rt indonesian presidential election map by regency and city county peta menang pilpres dasar kabupaten kak","positive"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
0," narasi orang gagal jadi menteri terang karena prabowo subianto kmbli sabet gelar capres abadi ","neutral"
-4,"rt tentang prabowo subianto indonesia bisa bubar dan punah dari ahmad yani politis dan praktisi hukum tulis desemb","negative"
4,"enggak kalian saja kalian buat alir percaya baru yang tuhan nama prabowo subianto let me sih your stupid ","positive"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
-1,"rt yang punya gawe akan hancur nkri malah santai di wina austria cecunguk nya blingsatan sendiri bodo","negative"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
-2,"sandiaga si uno mastik prabowo subianto tak akan lama ada di luar neger prabowokeluarnegeri ","negative"
-5,"rt tim mawar rupa buah tim yang bentuk bawah grup iv komando pasuk khusus kopassus dasar perintah langsu","negative"
-1,"rt yang punya gawe akan hancur nkri malah santai di wina austria cecunguk nya blingsatan sendiri bodo","negative"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
-1,"rt yang punya gawe akan hancur nkri malah santai di wina austria cecunguk nya blingsatan sendiri bodo","negative"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
0,"edar foto prabowo subianto saat ada di viena austria ","neutral"
0,"edar foto prabowo subianto saat ada di viena austria ","neutral"
8,"rt benar yang justru dikuatirkan adalah selamat prabowo subianto dan tim sudah kriminalisasi handphonenya dik","positive"
-1,"yang punya gawe akan hancur nkri malah santai di wina austria cecunguk nya blingsatan sendiri ","negative"
3,"tinggal prabowo subianto ke dubai nyata sandiaga uno akan pergi ke amerika untuk laku hal ini ","positive"
