Text,Sentiment
puas belanja di shopee banyak diskon dan gratis ongkir. penjualnya baik dan kurir sopan.,positive
Aplikasi yang bagus dan sangat membantu,positive
saya kecewa kenapa sekarang Shopee sangat eror. Mau checkout aja susah,negative
Shope sangat bagus bagi saya saya suka banget sama shopee,positive
Kecewa Katanya gratis ongkir . Ternyata mahalnya. Gak bisa bayar di tempat pula,negative
"KECEWA DENGAN PERUBAHAN EKSPEDISI PENGIRIMANNYA!!!!!!!! BUKANNYA CEPET MALAH TAMBAH LAMA, BUKANNYA ONGKIRNYA MURAH MALAH MAHAL!!!!!!!!",negative
Bagus banget.. Aku puas.. Pengemasan rapi banget.. Makasih ya seller,positive
Aplikasi sangat bagus dan banyak bonus??,positive
Aplikasinya sering eror bikin pusing susah bayar susah pencarian juga,negative
Saya udh kecewa banget... Uang saya belum kembali soal pesanan,negative
"Shopee emang keren bangetlah tapi sayang, shopee later gak bisa dipakai",positive
Untuk sampai saat ini masih bagus .. Pertahankan yah.,positive
Bagus tingkatkan terus ya shopee,positive
Shopee keren cuman ada yang jual terlalu mahal barangnya mesti seken,positive
Bagus banget aplikasinya ,positive
"Kelebihan: Barang yang dijual lengkap dari dalam sampai luat negeri ada. Proses pembayarannya mudah dan aman. Kekurangan: Sering loading lama banget cuman mau masukin barang ke keranjang.. padahal sudah di bersihkan chace nya :( **Tambahan: sudah versi terbaru plus clear chace admin, tapi masih aja lo...Ulasan Lengkap",positive
Makasih shopee... Mantap..... Kali lain mau pesan lagi .... Bravo shopee..... Masker untuh halangi virus korona di dunia.... Wabil khusus di indonesia raya tercinta ini.... Hehe.......,positive
"Suka barang"" nya cuma pengiriman nya yang kadang terlalu lama",positive
Selama ini barang yang dicari selalu ada,positive
Terimakasih shopee!!?,positive
Barang sesuai gambar...,positive
suka semoga selalu aman amanah ya terimakasih shopee,positive
Pemesanan dan program pemerintah di rumah aja tambah makin enak,positive
Tetap jaga kepercayaan pelanggan,positive
Belanja online lebih mudah,positive
Pelayanannya sangat memuaskan,positive
"Sudah baik, semoga lebih baik lagi..",positive
"Masih ada yang perlu dipantau kualitas dr produsen,terutama barang elektronik.",positive
"mantap harganya murah, bikin pasar ofline ngadat ??",positive
Aku suka aku belanja di shopee ini dari mula nya hidup virus covid 19 tapi ongkir/harga produknya tolong di potong agar lebih murah jadi bisa beli banyak,positive
"Tolong perbaiki lagi performa aplikasi y , masak aku beli alat elektronik total belanja ya sering lebih 5 ribu bahkan lebih dari hitungan manual, ya terpaksa aku kurangi lagi bintang y",positive
Nyaman belanja d shope...jadi g ribet,positive
makasih shopee belanja jadi lebih mudah. Tinggal nunggu di rumah pesanan sampai deh,positive
"Bagus, cuma ada beberapa yang perlu ditambah :)",positive
"Selalu ada free ongkir, dan banyak disc, cuma 1 yang kurang sering belanja ratusan ribu tapi gak ada shopee paylater, sementara tmn gw yang jarang beli ada shopee paylater",positive
puas belanja di shopee banyak diskon dan gratis ongkir. penjualnya baik dan kurir sopan.,positive
"Masih jadi yang terbaik, dengan keamanan dan kenyamanan yang luar biasa",positive
Apakah kalau beli barang di sini harus share lokasi??? Soal nya gak pernah beli online,positive
Lebih ditingkatkan lagi untuk keaman shopeepay nya,positive
Shopee makin keren,positive
"Harus pinter2 milih toko untuk dapat barang murah tapi bagus, suka dengan free ongkir untuk semua toko nya, shopee sering2 ya bikin promo free ongkir nya karenaa kirim ke lokasi aku mahal banget kalo ongkirnya.",positive
"lumayan membantu, cuma sayang, produk &gambar nya terkadang berbeda jauh,,,, ekspektasi nya tidak seindah kenyataan....",positive
"Ya karena tidak ad yang sempurna aja di dunia, tapi senang shopee selalu meningkatkan keamanan dan kenyamanan pembeli. Terimakasi shopee",positive
Asalamualikum saya mau nanya kalo buka shopee pakai email atau pasword g yang sudah pernah downlod dijawa y soalny aku baru downlod.??makasih,positive
Harga murah . cepat sampai.banyakin gratis ongkir jangan mahal2 ongkirnya biar yang belanja lebih bnyak,positive
"Maaf kak ini aplikasi shopee memang bagus banget. Tapi untuk jasa kirim pakait nya mahal banget harganya jadi sampe 17.000 gitu. Tolong dong diperbaiki lagi, biar makin langganan. Maaf ya kalau ucapanku mengganggu. Tapi aplikasi nya bagus bangett kok??",positive
Bagus hanya saja kadang suka loading lama,positive
saya kasih bintang 4 soalnya lama langganan di sini... Cuma saran sdikit d perbaiki : 1.Agak lemot klau louding 2.shopee laterku tiba2 jadi nol... padahal tgihan selalu ku bayar jauh sblm jtuh temponya 3.koin d permainan tanam ama harian smkin sdkit 4.ongkir untuk lokalan kok gk prnah 0 rp 5.dll,positive
"Kasi bintang 4 aja,soalnya saat masuk cari produk gd mau muncul.tolong diperbaiki donk.",positive
"Shopee sangat membantu, apa lagi shopee paylater, sayang y ongkir geratis y jarang""????",positive
"Shopee aplikasi ok sih, tapi saya mau belanja di shopee pas saya mau chekout, kok tiba2"" ada masalah ya, kyak nggk ada rincian belanjaan gtu",positive
sangat membantu buat kaum mager keluar wkwk,positive
"Sejauh ini semua pesanan bagus, mudah2n kedepan pelayanan lebih matang lagi, lebih mantap lagi, lebih melindungi konsumen",positive
Senang sekali,positive
Iklan bagus barang nya sesuai pesanan,positive
alhamdulillah aplikasi yang amanah,positive
Pengalaman baru di era new normal.. Seru juga belanja di aplikasi ini,positive
Masih berjalan mulus...belum ada kerugian...semoga kedepannya aku bisa dapat undian dari shopee...??,positive
Aplikasi bagus.. Sangat membantu..,positive
Oke punya  deh top,positive
Keren abis nih,positive
sudah langganan belanja disini,positive
Semoga kedepanya semakin ok.,positive
Saya saranin bisa bayar di tempat :),positive
Aplikasi belanja yang sangat efektif dan bermanfaat.,positive
Tambahin promo min,positive
Bagus banget aplikasinya....tapi agak sedikit bermasalah saat memesan barang,positive
Kadang lemot banget.. tapi overall sudah baik..,positive
Semua orang sudah tau lah sophie mempermudah belanja dan aman...,positive
sampai saat ini cukup bagus,positive
Terima kasih sudah membantu saya,positive
"Aplikasinya si oke yah, pesenan juga lancar aja. Cuma sekarang ko koin hasil belanjanya malah ditarik karena spam. Padahal saya selalu kasih bintang 5 dan review jujur bagus bagus:)) ini kenapa ko bisa gini",positive
Aplikasi sangat bagus dan banyak bonus??,positive
Aku suka sekali,positive
Asalamualaikum Ini aplikasi bagus banget tapi saya blom tau soalnya HP saya Kentang jadi kalo Login nya lama banget tapi aplikasi nya kaga salah kok yang salah cuma HP Gw doank Thank's you,positive
SHOPEE menurut ak dh bagus tapi masih ad yang karena gtu masalah koneksi nya jadi untk skarang bntng 4 dlu yh min,positive
pelayanan bagus,positive
Lumayan okelaa,positive
"Suka pakai shoppepay tapi akun kok sekarang gak bisa dipakai punyaku ya,ada masalah apa ya..tolong jelaskan",positive
"Suka banget belanja di shopee, sering2 dong keluarin voucher gratis ongkir",positive
Bagus aplikasi nya tapi kadang agak lelet aja,positive
"Pokonya suka banget ,bikin mudah ,dan kalo masalah barang bagus atau zonk ya tergantung kita nya aja yang nentuin dan dari pihak tokonya juga yang ngirim ,ada harga ada kualitas sih intinya mah yaa??",positive
"Shopee sangat lah membantu,terimaksih banyak shopee. semoga semakin maju",positive
kok ga ada kode pos kota/kelurahan tertentu ya?,positive
"sejauh ini, selalu puas sama aplikasinya",positive
Aplikasinya bagus pengirimanya juga cepat tepat dan akurat apalagi di tambahin cod untuk pembayaran di tempat makin tambah bagus lagi makasih shopee,positive
"Kekurangan shopee, shopee harus di update terus",positive
Sangat memuaskan,positive
Kalau bisa shope adakan tabung emas ataw tabung saldo ( khusu penjual ) Yang mana dana di potong untuk ditabung dalam bentuk emas ataw nominal dari setiap hasil penjualan yang sudah selesai. ..jadi kita para penjual bisa menabung...,positive
Memuaskan selama ini,positive
"Kena rachun shopee sudah KERACUNAN SHOPEE N TIKTOK,awal ny iseng iseng aja belanja di shopee tapi stelah semakin hari semakin kena rachun, karena diskon ny itu lohk bikin aku sedih????,masa kaos tie dye harga nya 9.000 sm lengan panjang cuma 12 rbu, bahkan ada shopi mart jadi gk perlu ke alfa ato ke i...Ulasan Lengkap",positive
Produk dan pengiriman nya sesuai????,positive
Aku sukanya kalau ada cod...dan barangnya sesuai gambar setiap aku pesan...no tipu2.????????????????????????,positive
"Mantap, banyak discount & free ongkir",positive
"kalau ada belanja onlin lebih mudah,belanja tidak perlu keluar rumah tinggal menunggu saja di rumah meski beberapa hari,semoga di per kilat waktu pengiriman biar orang suka belanja onlin,sukses buat shopee",positive
Bagus untuk semua orang ya...,positive
"Selalu belanja di Shopee dan alhamdulillah belum pernah kecewa dengan aplikasinya,hanya saja ingin komplain soal ekspedisi J&T di Balikpapan, kenapa selalu memberitahukan barang sudah saya terima padahal sebenarnya barang blm ada dirumah saya, dan biasanya keesokan hari baru diantar,itu sering kali te...Ulasan Lengkap",positive
Mantap..banyakin gratis ongkir,positive
"Love shopee , mudah berbelanja di shopee, ayok kakak semuanya online ke shopee, banyak gratis ongkir, voucher, and casback ??????",positive
"Barang selalu sesuai...tapi masalah ongkir masih terlalu mahal (kdangan sih)tapi aku puas.pengiriman jg cepat,,,????????",positive
"Keren dah, walupun terkadang shopee pay nya sering eror",positive
bagus..... banget nget nget tapi ongkir ny suka ada yang mahal�,positive
"Tadi pagi dapat sms ktanya dapat hadiah uang dari shopee,, ini bneran dari shopee?? Atau cuma penipuan",positive
lumayan lah belanja di shopee banyak kemudahan dan banyak voucher nya juga..,positive
Lumayan deh shopee sekarang sering2 bikin event ya,positive
shopee memang oke Semua pesanan cepet datang,positive
lumamayan membantu untuk beli barang gak usah pergi2 tingal pesan sajah pengiriman jga cepAtt...,positive
sip pokoknya di shopee ,positive
Aplikasi terbaik tapi coba deh buat flash salenya dibanyakin stoknya suka ga dapat,positive
Banyak gratis ongkirnya,positive
Shopee mantap kalau bisa harga di turunin ??,positive
belanja ga usah ribet di shopee ja,positive
"Bagus banget,tapi kadang kadang loading terus",positive
Kenapa di aplikasi saya tidak ada spay later?,positive
"Sejauh ini, puas dengan aplikasi shoppe. Aplikasi sejuta umat. Tapi kenapa yang cod hanya bisa untuk 1 hari saja ya?",positive
Bagaimana download shopee terbaru yang bisa upload video buat retur barang,positive
Kualitas barang sangat baik,positive
"Lebih mudah memilih smw kebutuhan, banyak gratis ongkirY...",positive
"pakai shopee puas banget, tapi tolong dong shopeepaylaternya kapan bisa di gunakan lagi huhu.",positive
"Voucher gratis ongkirnya sekarang sedikit banget,,dulu sebulan sekali dapat 2 voucher,, Sekarang enggak",positive
Lebih banyak gratis ongkir nya..,positive
bagus dan mantap,positive
Kadang suka ngelag. Tapi rata-rata oke. Sayang voucher gratis ongkir tidak sebanyak dulu,positive
seneng banget bisa belanja di shopee ga rugi deh,positive
"Apl ini cukup membantu banget bagi rakyat Indonesia, apa lagi seperti keadaan dan situasi sperti skg ini, meskipun covid-19 sedang mlanda, tapi kita tetep bisa belanja dari rumah, terimakasih shopee",positive
Respon cepat...ongkir harus lebih murah lagi,positive
untuk sekarang puas banget..,positive
"Pelanggan setia .. Sampe dapat aplikasi shopee pinjam . tapi sayang.nya stelah pengajuan d setujui pd hari yang sma ketika pengajuan smpe sekarang dana ga cair"" .. Udh semingguan .. Complain chat . email ga ad hasil .. Judul.nya d php.in nihh sma shopee",positive
Shopee online shop terpercaya lh pokoknya,positive
"Loadingnya biasa agak lama, meski pakai wifi ataupun pakait data",positive
"Mempermudah belanja,,,,sayakn orangnya jarang kemana""",positive
"Sebenarnya lumayan bagus, cuma semakin lama dibuka semakin lambat",positive
"Sebenernya shopee ini bagus, cuman saran aja kembaliin fitur di wishlist yang ga sekaligus ketandain, biar kita ga susah ubah pesanan satu2 yang ada di wishlist pas mau cekout barang tertentu. Terus cek koinnya jangan pelit2lah kasih koinnya, dikurangin mulu sih jumlah koin per harinya ??",positive
"Belanja nyaman, belanja aman",positive
"Bagus dn mntapi cumann......ap gunanya perpanjang masa pembayaran,,tiba2"" di cancel sndari olh pihak sophee",positive
"Belanja mudah, harga bersaing, bnyak voucher terutama free ongkir. tapi hrus teliti beli barang murah, heheh, kualitas sesuai harga",positive
Suka banget deh,positive
"Bagus,untuk saat ini pelayanannya cukup puas,barang yang di pesan sesuai,cuma sampainya estimasi pengiriman agak lama,1 minggu??",positive
Puas belanja d shopee,positive
"saya suka belanja di shopee sih, sayangnya voucher free ongkirnya terlalu minimalis, apalagi untuk barang yang ada diluar jawa otomatis ongkirnya lebih mahal:') lebih dibanyakin lagi dong vouchernya",positive
Simple dan kompetitif,positive
Barang nya baguss,positive
Saya sebagai pelanggan sangat puas dengan shopee tetapi tolong ditambahkan fitur saat checkout kita masih bisa menggunakan shopepay walau saldonya kurang dan kekurangannya bisa dibayar melalui COD sekian dari saya terimakasih..............,positive
Bagus banget aplikasi shopee nya,positive
Harga produk bagus Produk original,positive
Bagus shopee membantuku dalam berjualan online,positive
Puas belanja di shopee,positive
"pengiriman ok ,kurirnya ok ok .",positive
Gratis ongkirnya suka hilang hilang cuma itu yang kurang aku suka jadi kasih bintang 4 saja dulu,positive
"Saya suku belanja di aplikasi ini cuma kadang kecewanya pesanan sama barang datang tidak sesuai itu aja terus tidak ada konfirmasi apa2 , sukanya pengiriman cepet",positive
"Shopee sangat membantu, belanja gak harus ribet... Dan kualitas produk nya bagus sesuai pict nya",positive
"Bagus sih cuman ada kendala nya yaitu saya sudah klaim voucher gratis ongkir tapi malah gabisa dipakai voucher nya :""(",positive
Assalamu'alaikum warahmatullahi wa barokatuh saya Nayla?? kenapa saya kasih bintang 4 karena harusnya shopee ini ada foto dari pembelinya agar lebih de l dan lengkap ??????????,positive
"Saya senang pakai shopee, selama order gak pernah barang diterima cacat. tapi kenapa akun saya di nonaktifkan untuk COD. Padahal gak pernah menggagalkan orderan secara sepihak. Dari pelapaknya yang barang kosong",positive
"Sejak ada shopee aku kalau belanja jadi lebih mudah,walaupun kasang ongkos kirimnya lebih mahal daripada harga barang yang dibeli",positive
"Aplikasi online shop ini bagus sih..... Bisa gratis ongkir sampe Rp0 tapi sayangnya gk semua produk bisa sampe segitu ongkirnya. dan jasa pengiriman shopee express standard juga nggak bisa cod lagi.... sayang banget, jadi kalau mau cod yah harus pakai j&t yang ongkirnya mahal banget. produk yang di ke...Ulasan Lengkap",positive
Sejauh ini hasil dari barang yang dibeli bagus dan pelayanannya cepat ,positive
Shopee sekarang gratis ongkir memerlukan shopeepay kalau tidak ada shopeepay ya harus nanggung ongkir sendiri Dulu shopee banyak banget gratis ongkir sekarang berubah mungkin karena zaman...,positive
mudah dan cepat pelayanannya terimakasih shopee,positive
Tingkatkan lagi aplikasinya sejauh ini sudah bagus,positive
Mantap shopee terbaik,positive
"Lumayan bisa buat cari pengahasilan di sini,tapi malas ny tiap bulan diperbaruin Terus",positive
sangat membantu,positive
Bagus pelayanannya memuaskan,positive
Shopee keren membantu saya dalam membeli kebutuhan secara cepat,positive
"Suka belanja dishopee, terpercaya dan terbaik deh pokoknya",positive
"hai Shopee aku suka banget sama kamu,tapi sejak adanya jasa kirim otomatis pembeli saya jadi nggak bisa bikin pesanan dengan akhirnya nggak bisa check out deh..gimana coba?",positive
Sekian lama belanja di shopee tidak pernah kecewa,positive
Shopee mantap pertahankan,positive
Bagus terimakasih shopee,positive
"Selama belanja di shoppe alhamdulillah barang yang datang sesuai. Pertahankan terus tingkat pelayanannya, semoga gak nyecewain.",positive
"sangat membantu semogaa pihak shopee ny bisa lebih teliti dalam produk yang dijual biar g ad yang palsu� gitu, jadi g ngerugiin nama shope hhe",positive
kualitas produk baik pngiriman barang aja lama sama ongkir mahal,positive
"Dari dulu sudah pakai shoppe, emang mantep apalagi pas ada fitur paylater, tapi kok sekarang udh kagak ada yah?? Tolong dong pihak shoppe adain lagi fitur paylater karena itu sangat ngebantu sekali buat kami yang mau memulai usaha. Semoga bisa lebih baik lagi kedepannya ????",positive
"Bagus banget aplikasi yang membantu saya  jualan tapi belum ngerti ini cara daftar rekening kenapa ga masuk2 nya sms pemberitahuan kode nya tolong bantuan nya,",positive
Walaus sudah bagus tapi masih banyak penjual yang melakukan kecurangan jadi bintang 4 aja,positive
 Bravo Shopee..harus lebih profesional memilih Prodaks yang MURTAGUS ( Murah Tapi Bagus)...,positive
Semoga tetap amanah,positive
Puas belanja di shopee,positive
"produknya komplit dan banyak bonusnya,,,,",positive
"Bagus sangat membantu ,, tapi kenapa adik aku ngga ada minimal belanja untuk gratis ongkir, aku ada ???? tapi suka kok app ini .",positive
Aplikasi ini bagus banget Pokok nya ok lh Nggak bisa lagi gwe mau ketik apa lagi Karena aplikasi yang basgus,positive
"Membantu sekali untuk kebutuhan barang, cuma banyak toko yang slow respon dan bahkan sering tidak dibalas",positive
Respown penjual cepat,positive
Bagus sekali shopee pelayanannya,positive
Responnya cepat.belanja di shopee aman dan mudah,positive
Selama ini memuaskan karena selalu ngga kecewa,positive
Aplikasi nya bagus cuma saya sedikit kecewa karena saya sudah 6 kali mengajukan pinjaman di shopee leater tapi belum pernah sukses padahal saya sudah lama menggunakan aplikasi shopee belanja pun sering dan saya juga kecewa saya tidak bisa menghapus akun shopee saya,positive
Belanja ga perlu ribet keluar rumah ,positive
Pengiriman cepat barang sesuai pesanan terimakasih shopee,positive
Banyak membantu,positive
"Cukup bagus,, pertahankan",positive
"banyakin gratis ongkir ya, cod nya juga jangan kasi minim"" belanja hehe",positive
Saya cukup puas,positive
"Layanan bagus, jangan sampai ada seller yang tipu2 ya.....",positive
cukup responsif dengan komplain pembeli,positive
Memudahkan berbelanja,positive
sangat puaass belanja di shopee,positive
Ada kenaikan bintang dari ulasan saya yang dahulu. Saya kasih bintang 4.,positive
Bagus dan selalu dipertahankan,positive
"Belanja online terpercaya, semoga makin banyak voucher gratis ongkirnya",positive
"Shopee sekarang lbh sering suruh update terus.sekarang belanja di shopee kadang suka lemot kalau akut mo ngelacak lokasi barang sudah sampe mana,kadang masih di kemas padahal barang sudah di kirim sama penjual.lemot banget sekarang shopee,lama banget tampilin gambar2nya jadi mls duluan kalau mo bli.sekarang shopee gratis ongkirnya lbh banyak...Ulasan Lengkap",positive
Suka belanja di Shopee,positive
Layanannya ceppat dan memuaskan,positive
Belanja online ku hanya di shopee aja ??,positive
Bagus sih bosku lebih nyaman... Cuma kurangnya satu ongkirnya kemahalan bosku di bandingin toko sebelah...ya wlwpun bnyk promonya tapi Tidak semua pengguna dapat!!,positive
Gratis ongkirnya tambah lagi yang bukan shope pay biar smangat belanja nya,positive
Transaksi nyaman & aman,positive
Aplikasi keren yang bisa menghasilkan uang dan juga memudahkan dalam berbelanja ????????,positive
"Bagus aplikasi nya. Tapi banyak racun, bikin dompet nangis :(",positive
"Bagus, tapi apabila pembeli komplain barang, selalu yang dibela penjual.",positive
Barang sesuai pesanan pokoknya ????,positive
"Mantap, banyak free ongkirnya...",positive
Banyakin voucher gratis ongkirnya dong,positive
Kalo shopee. belanja sepatu ada ukuranya gax..soalnya saya blum prnh pke shope. Biasa nya saya pke lazada..mudah2an ja gampng belanja nya..biar jadi lnggann d shope,positive
Semoga membantu bagi orang lain,positive
Memang oke... Yang penting belanja sesuai prosedur shopee biar amanah..,positive
Berbelanja mudahh,positive
"Banyak promo no kaleng2, gak seperti sebelah",positive
Bagus dan memuaskan,positive
Mantap,positive
Kualitas barang sesuai..,positive
Pengiriman dapat dipercaya Semoga kedepanya lebih maju lagi Dan banyak gratis ongkir:v,positive
Selama ini suka masih yang terbaik ????,positive
Selama ini setelah berbelanja menggunakan shopee belum ada kendala apapun.,positive
sudah bisa log in makasih shopee...ga jadi beli hp baru karena pakai hp lama masih bisa...tidak merepotkan...semoga lebih baik lagi ya,positive
Sejauh ini transaksinya ok. Hanya perlu perbaikan pada aplikasi karena membutuhkan kuota yang besar. Sehingga di daerah yang sinyalnya kurang bagus agak berat dan lambat sekali....,positive
Lumayan puas menjadi seller d shopee,positive
Pokoknya keren ini aplikasi,positive
Sangat memuaskan??????????,positive
Belanja di shopee bagus sesuai pesanan,positive
"Bagus, memudahkan berbelanja di era online spt skg.",positive
Alhamdulillah selalu langganan sama shopee,positive
Sering banget belanja disini.. ga mengecewakan.. apapun yang aku butuh ada di shopee.. memang ada beberapa toko yang ga jujur atau menjual barang yang tidak sesuai denga foto yang dipajang.. tapi sejauh ini sih puas2 aja kok pakai aplikasi ini..,positive
Sukses terus ya buat aplikasi ini,positive
Terbaik aku suka....!!!,positive
Pembelian lebiih aman dan terpercaya,positive
Bagus banget aplikasi nya,positive
"sudah bagus kak, kalo bisa tambahin fitur topup gopay pliss mau bangett??????",positive
"Aplikasi terbaik ,,, kalau ongkir nya free tambah sippp",positive
Situs belanja online The Best ,positive
Suka bangett,positive
Aplikasi ini sangat bagus,positive
Pengiriman tidak pernah meleset dan cepat pastinya.,positive
selalu belanja di shopee karena banyak gratis ongkirnya ,positive
Toplah shoppee....,positive
Saya kasih bintang lima (5) buat aplikasi shopee nya . Sangat rekomendasi banget deh tidak mengecewakan pelanggannya.???? Terimakasih Shopee.???? Tambahin lagi bonus nya buat saya ya kak.???? Tapi saya belanja di Shopee belum pernah dapat hadiah HP Canggih sih kak.,positive
Aplikasi ini memang bagus dan menarik,positive
Baru pertama kali download langsung dapat barang gratisan,positive
Puas banget belanja di shopee,positive
"Sagat berguna bagi pelanja online,pengiriman cepat",positive
Belanja dishopee mudah cepat sesuai pesanan seneng deh...dah langganan ????????,positive
BAGUS BANGET INI aplikasi SYOPI AKU SUKA BANGET,positive
"Belanja gampang, pilihan banyak, harga nyaman d kantong...",positive
"Assalamualaikum,ak suuukkkkaaa baattt aplikasi ini",positive
"pakai Shopee pasti untung,aplikasi dr Sabang sampai merauke,yang lain...cukup.",positive
Ak suka dengan aplikasi ini bisa belanja2 makasih ya shopee,positive
Toko online shop sangat memuaskan customer nya secara pelayanan dan produk,positive
Cinta banget sm shopee,positive
"Kalau bisa ongkir nya jangan mahal,,ok Kaka...semoga ada big shale barang ORI ya ka jangan kw hehe ??",positive
baguss,positive
barang selalu sesuai pesanan,positive
Bagus banget.. Aku puas.. Pengemasan rapi banget.. Makasih ya seller,positive
Harga terjangkau pngriman ok.kualitas djaga ok.,positive
Aman dan terpercayaaaa,positive
"Terimakasih atas adanya shopee mau belanja apa aja bisa semuanya ada dishopee. tapi kenapa ya voucher cod nya gak bisa di gunakan. Harus menggunakan shopeepay dulu voucher nya baru bisa digunakan, agak bete dehh.. tolong ditingkatkan lagi ya shopee. Terimakasih ????",positive
"Sangat memuaskan , terimakasih, makin sukses shopee",positive
Mantep dah pkoknya,positive
Terima kasi shopeee atas pelayanya...,positive
"suka hyung aplikasi nya!! jadi mudah belanja tanpa harus keluar rumah, banyak diskon sama voucher gratis ongkir nya jga, terus harga nya kbnykan lebih murah?? besttt lahhh pokok nya aplikasi racunn yang warrrbiasaaa sukaa????",positive
"Memudah kan  untuk mencari dan membeli barang, ter utama barang yang sudah langka daerah saya.",positive
Saya puas sekali dengan sopee berbelanja dengan murah tampa kemana2,positive
Saya sangat suka...,positive
saya suka,positive
Murah cepat tepat,positive
"Belanja jadi mudah, harga jg murah",positive
Pelayanan bagus tapi kadang dr pihak penjual kurang cepat merespon,positive
